inserted_at,platform_name,delivery_platform,delivery_tracking_number,order_id,order_no,external_order_no,shipping_label
2024-04-20 14:41:13,Shopee,Ninja Van,SPEVN244393393054A,15954688,SPECBE-2404209D1T4B1G,SPECBE-2404209D1T4B1G,https://files.onpoint.vn/order/2024/04/22/145597139HBQISLYV5GEA5TQBD3HGEQD7_shipping_label.pdf
2024-04-20 14:24:32,Shopee,SPX Express,SPXVN047159421644,15954400,SPEPEP-2404209C3YFXV0,SPEPEP-2404209C3YFXV0,https://files.onpoint.vn/order/2024/04/22/39022519074INUY2ZU5AZHLLU72ATYZS4_shipping_label.pdf
2024-04-20 14:23:30,Shopee,Giao Hàng Nhanh,G8PL3TH7,15954361,SPENVA-2404209C24AXTN,SPENVA-2404209C24AXTN,https://files.onpoint.vn/order/2024/04/21/902070385LHQC3FCP7NKTQQPYWVASZPEA_shipping_label.pdf
2024-04-20 13:14:51,Shopee,SPX Express,SPXVN042641253484,15953093,SPEMDE-240420987B8TRV,SPEMDE-240420987B8TRV,https://files.onpoint.vn/order/2024/04/22/642275632FWT6EEXK5AKVVUGNQCDGOXZZ_shipping_label.pdf
2024-04-20 13:13:33,Shopee,SPX Express,SPXVN046652663004,15953065,SPETHM-2404209851TKH9,SPETHM-2404209851TKH9,https://files.onpoint.vn/order/2024/04/22/841251273EOKZHHTHELMOXHGENU6DQ4FH_shipping_label.pdf
2024-04-20 12:40:40,Shopee,SPX Express,SPXVN045711535574,15952341,SPEOBA-24042096A85JGH,SPEOBA-24042096A85JGH,https://files.onpoint.vn/order/2024/04/20/579460911TSHCSW3BONBBFSZ4GCXKEZSL_shipping_label.pdf
2024-04-20 12:06:12,Shopee,Giao Hàng Nhanh,G8PFVBF3,15951605,SPETHM-24042094CK2751,SPETHM-24042094CK2751,https://files.onpoint.vn/order/2024/04/22/381955615N5ZGI3YD7SBMZNQWNVY3TDYQ_shipping_label.pdf
2024-04-20 11:27:36,Shopee,Giao Hàng Nhanh,G8PLG8KY,15951041,SPEJNJ-240420927K8964,SPEJNJ-240420927K8964,https://files.onpoint.vn/order/2024/04/20/722949916IK7ULOHYO32WXVY3ESN53QGM_shipping_label.pdf
2024-04-20 11:23:35,Shopee,Giao Hàng Nhanh,G8PLGA6A,15950939,SPEHUG-240420920DDTAE,SPEHUG-240420920DDTAE,https://files.onpoint.vn/order/2024/04/20/6486042935TEDMYSKT75HEOUMOQGYJU4E_shipping_label.pdf
2024-04-20 11:16:18,Shopee,Giao Hàng Nhanh,G8PLGH68,15950835,SPEJNJ-24042091KCNKTB,SPEJNJ-24042091KCNKTB,https://files.onpoint.vn/order/2024/04/20/70079988W3OY5YEAVNSLYPL54OJ2EHRN_shipping_label.pdf
2024-04-20 11:06:48,Shopee,Giao Hàng Nhanh,G8PLGWFD,15950718,SPEJNJ-240420912D4QFE,SPEJNJ-240420912D4QFE,https://files.onpoint.vn/order/2024/04/20/90592543XNBJSNNAQ6XDIQMTXTGRCVGQ_shipping_label.pdf
2024-04-20 11:05:58,Shopee,Giao Hàng Nhanh,G8PLUQ93,15950704,SPEJNJ-240420910WEPH6,SPEJNJ-240420910WEPH6,https://files.onpoint.vn/order/2024/04/20/57887787I6HZ67O2YH34LNZYURDZWVCG_shipping_label.pdf
2024-04-20 10:31:07,Shopee,Giao Hàng Nhanh,G8PLG6L9,15950350,SPEJNJ-2404208Y2KAPK1,SPEJNJ-2404208Y2KAPK1,https://files.onpoint.vn/order/2024/04/20/825078950E5YHAHPROKTS2MEZV63C6HFE_shipping_label.pdf
2024-04-20 09:56:05,Shopee,Giao Hàng Nhanh,G8PL74RH,15950047,SPEJNJ-2404208W3WQS6F,SPEJNJ-2404208W3WQS6F,https://files.onpoint.vn/order/2024/04/20/924698373MZI26D5IQ2G3O65KVO3C6WER_shipping_label.pdf
2024-04-20 09:37:27,Shopee,Giao Hàng Nhanh,G8PLF96W,15949843,SPEJNJ-2404208V2MFXEY,SPEJNJ-2404208V2MFXEY,https://files.onpoint.vn/order/2024/04/20/231780633TU4MER44J76M7HN7HVAW5BDN_shipping_label.pdf
2024-04-20 08:21:16,Shopee,Giao Hàng Nhanh,G8PLQVRV,15948788,SPEJNJ-2404208QTD6XFT,SPEJNJ-2404208QTD6XFT,https://files.onpoint.vn/order/2024/04/20/145770366IJ5QRWESWVVUKS2XEYVQGHNE_shipping_label.pdf
2024-04-20 08:11:39,Shopee,Giao Hàng Nhanh,G8PQEY3X,15948663,SPEHUG-2404208Q961AJ9,SPEHUG-2404208Q961AJ9,https://files.onpoint.vn/order/2024/04/20/412410464ETIGZWWDRIUQSDKEP4ZJMEZP_shipping_label.pdf
2024-04-20 07:54:31,Shopee,Giao Hàng Nhanh,G8PQRKTK,15948452,SPEJNJ-2404208PAJK44E,SPEJNJ-2404208PAJK44E,https://files.onpoint.vn/order/2024/04/20/256608712ZD2Y6ZOM3DUJBLMD3GRZCX5M_shipping_label.pdf
2024-04-20 07:29:21,Shopee,tnsl_delivery,HTC310938203C0,15425447,SPEGRP-240404S6ESC1KT,SPEGRP-240404S6ESC1KT-GB,https://files.onpoint.vn/order/2024/04/20/SC8D285OI3KGPLQHVOFECHJKPXM7SL_shipping_label.pdf
2024-04-20 07:01:52,Shopee,Giao Hàng Nhanh,G8PLFYDA,15947901,SPESDP-2404208KCEV0UV,SPESDP-2404208KCEV0UV,https://files.onpoint.vn/order/2024/04/20/3524338163WZ6O3DUEHRCWQMHEDZAE6AX_shipping_label.pdf
2024-04-20 05:53:57,Shopee,Giao Hàng Nhanh,G8PQH6KH,15947036,SPECSC-2404208FJYP98G,SPECSC-2404208FJYP98G,https://files.onpoint.vn/order/2024/04/20/167075302ITABV2BUBSKPMLJS34YCS6EH_shipping_label.pdf
2024-04-20 05:28:24,Shopee,Giao Hàng Nhanh,G8PQXB8Y,15946595,SPENVA-2404208E59NTJS,SPENVA-2404208E59NTJS,https://files.onpoint.vn/order/2024/04/20/924093296JVIAYOTSSA374LRCPDYMWUNG_shipping_label.pdf
2024-04-20 05:15:26,Shopee,Giao Hàng Nhanh,G8PQH76H,15946369,SPEPSN-2404208DE3R13T,SPEPSN-2404208DE3R13T,https://files.onpoint.vn/order/2024/04/20/524668464DMCCDDCPN3LC3HVVGPV254TJ_shipping_label.pdf
2024-04-20 05:12:07,Shopee,Giao Hàng Nhanh,G8PQTNBQ,15946308,SPECSC-2404208D85Y4AB,SPECSC-2404208D85Y4AB,https://files.onpoint.vn/order/2024/04/20/7371487952RSFDD5MEDYIECSWMKYPK6TI_shipping_label.pdf
2024-04-20 05:11:33,Shopee,tnsl_delivery,HTC399525726C0,15455120,SPEGRP-240404T96ECJ4G,SPEGRP-240404T96ECJ4G-GB,https://files.onpoint.vn/order/2024/04/20/SC86KW72P4ALPBABGT5TZH6AXWKV6A_shipping_label.pdf
2024-04-20 05:06:34,Shopee,Giao Hàng Nhanh,G8PQTUN9,15946212,SPEBLM-2404208CX7DBEP,SPEBLM-2404208CX7DBEP,https://files.onpoint.vn/order/2024/04/20/789311879NQCZSFHR3HNZ4QVPICBXN3DF_shipping_label.pdf
2024-04-20 05:04:35,Shopee,Giao Hàng Nhanh,G8PQT7KE,15946175,SPECSC-2404208CTPWX08,SPECSC-2404208CTPWX08,https://files.onpoint.vn/order/2024/04/20/2770231493JSB6S2BDHPMMAUKEPRYZL2Z_shipping_label.pdf
2024-04-20 05:03:43,Shopee,Giao Hàng Nhanh,G8PQTXGL,15946153,SPEUIM-2404208CS5B6JE,SPEUIM-2404208CS5B6JE,https://files.onpoint.vn/order/2024/04/20/691213550TFAGOHAQUK3TEBO6LKPCHDRR_shipping_label.pdf
2024-04-20 05:00:35,Shopee,Giao Hàng Nhanh,G8PQTXU4,15946093,SPEUIM-2404208CKJ179H,SPEUIM-2404208CKJ179H,https://files.onpoint.vn/order/2024/04/20/7513944403BGIPR7MH5WP3K4UNHVONTUJ_shipping_label.pdf
2024-04-20 04:58:43,Shopee,Giao Hàng Nhanh,G8PQXBX3,15946061,SPENVA-2404208CG75JJ9,SPENVA-2404208CG75JJ9,https://files.onpoint.vn/order/2024/04/20/7816830467CPMOMQZP3E4TYXAGX5P7IYO_shipping_label.pdf
2024-04-20 04:51:20,Shopee,Giao Hàng Nhanh,G8PQTBXH,15945935,SPEPSN-2404208C2YTPG1,SPEPSN-2404208C2YTPG1,https://files.onpoint.vn/order/2024/04/20/760281481BXDZDECOVPNZVVWVBBXATTXD_shipping_label.pdf
2024-04-20 04:50:36,Shopee,Giao Hàng Nhanh,G8PQWX4M,15945919,SPEPSN-2404208C1NSMXB,SPEPSN-2404208C1NSMXB,https://files.onpoint.vn/order/2024/04/20/238437369LEVWKLIUXTUTOFNHLTMVEZMG_shipping_label.pdf
2024-04-20 04:46:27,Shopee,Giao Hàng Nhanh,G8PQWK93,15945841,SPECSC-2404208BT9AAAA,SPECSC-2404208BT9AAAA,https://files.onpoint.vn/order/2024/04/20/118647618Q4K6FSQRLJEWZZBMEGNKQOAD_shipping_label.pdf
2024-04-20 04:39:19,Shopee,Giao Hàng Nhanh,G8PQTUGL,15945721,SPEKIE-2404208BDH4CDY,SPEKIE-2404208BDH4CDY,https://files.onpoint.vn/order/2024/04/20/356589982UWBIFWYJI2IJO35RWM4XTY46_shipping_label.pdf
